E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20.B Evolución del precio de la vivienda de segunda mano (€/m2)  por Distrito y Barrio
;;2017;2018;2019;2020;2021;2022
09. Moncloa-Aravaca;097. Aravaca;3.824;4.198;3.742;3.559;4.032;3.925
10. Latina;10. Latina;1.977;2.307;2.299;2.246;2.270;2.476
10. Latina;101. Los Cármenes;1.920;Sin Datos;2.398;2.350;2.310;2.681
10. Latina;102. Puerta del Ángel;2.130;2.725;2.498;2.607;2.543;2.682
10. Latina;103. Lucero;1.940;2.232;2.380;2.148;2.209;2.438
10. Latina;104. Aluche;1.953;2.067;2.212;2.164;2.192;2.411
10. Latina;105. Campamento;1.949;2.174;2.237;2.077;2.132;2.481
10. Latina;106. Cuatro Vientos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;3.568
10. Latina;107. Águilas;1.861;2.041;2.125;2.133;2.186;2.333
11. Carabanchel;11. Carabanchel;1.874;2.101;2.187;2.165;2.148;2.333
11. Carabanchel;111. Comillas;2.273;2.367;2.702;2.592;2.748;2.841
11. Carabanchel;112. Opañel;1.887;2.212;2.339;2.268;2.276;2.241
11. Carabanchel;113. San Isidro;1.801;2.084;2.303;2.225;2.223;2.538
11. Carabanchel;114. Vista Alegre;1.837;2.037;2.044;2.054;2.087;2.258
11. Carabanchel;115. Puerta Bonita;1.651;1.854;1.942;1.945;1.951;2.170
11. Carabanchel;116. Buenavista;1.643;1.888;1.982;1.999;1.943;2.288
11. Carabanchel;116. Buenavista (PAU de Carabanchel);2.801;3.085;3.026;2.979;1.943;3.106
11. Carabanchel;117. Abrantes;1.644;1.896;1.883;1.925;1.897;2.047
12. Usera;12. Usera;1.710;2.008;2.043;1.942;2.013;2.182
12. Usera;121. Orcasitas;1.702;Sin Datos;1.809;1.626;1.821;2.132
12. Usera;122. Orcasur;Sin Datos;Sin Datos;1.728;1.676;1.874;1.858
12. Usera;123. San Fermín;1.714;1.815;2.041;1.723;1.874;2.170
12. Usera;124. Almendrales;1.829;2.012;2.180;1.927;1.992;2.186
12. Usera;125. Moscardó;1.788;2.261;2.209;2.102;2.311;2.455
12. Usera;126. Zofío;1.624;1.887;1.889;1.979;1.964;1.878
12. Usera;127. Pradolongo;1.677;1.902;2.097;2.004;1.940;2.108
13. Puente de Vallecas;13. Puente de Vallecas;1.583;1.821;1.957;1.887;1.920;2.112
13. Puente de Vallecas;131. Entrevías;1.279;1.413;1.558;1.500;1.504;1.830
13. Puente de Vallecas;132. San Diego;1.564;1.783;1.928;1.874;1.942;2.121
13. Puente de Vallecas;133. Palomeras Bajas;1.565;1.853;2.108;1.934;1.933;2.190
13. Puente de Vallecas;134. Palomeras Sureste;1.642;2.014;2.012;1.963;1.922;2.046
13. Puente de Vallecas;135. Portazgo;1.535;1.712;1.826;1.856;1.932;2.016
13. Puente de Vallecas;136. Numancia;1.783;1.921;2.082;1.983;2.105;2.250
14. Moratalaz;14. Moratalaz;2.269;2.568;2.500;2.569;2.531;2.614
14. Moratalaz;141. Pavones;Sin Datos;Sin Datos;2.222;2.178;Sin Datos;2.128
14. Moratalaz;142. Horcajo;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;..
14. Moratalaz;143. Marroquina;Sin Datos;2.794;2.868;2.917;2.903;3.137
14. Moratalaz;144. Media Legua;Sin Datos;Sin Datos;2.664;2.685;2.625;2.558
14. Moratalaz;145. Fontarrón;1.998;Sin Datos;2.207;2.146;2.303;2.457
14. Moratalaz;146. Vinateros;Sin Datos;Sin Datos;2.500;2.462;2.515;2.627
15. Ciudad Lineal;15. Ciudad Lineal;2.724;3.000;3.020;2.912;2.968;3.255
15. Ciudad Lineal;151. Ventas;2.277;2.582;2.665;2.644;2.559;2.841
15. Ciudad Lineal;152. Pueblo Nuevo;2.228;2.418;2.496;2.445;2.537;2.708
15. Ciudad Lineal;153. Quintana;2.478;2.933;2.828;2.916;2.913;3.179
15. Ciudad Lineal;154. La Concepción;2.448;3.142;3.259;2.819;3.257;3.620
15. Ciudad Lineal;155. San Pascual;3.178;3.471;3.402;3.318;3.419;3.622
15. Ciudad Lineal;156. San Juan Bautista;3.747;3.894;4.288;4.221;4.346;4.626
15. Ciudad Lineal;157. Colina;Sin Datos;Sin Datos;4.660;4.344;4.792;5.085
15. Ciudad Lineal;158. Atalaya;Sin Datos;Sin Datos;Sin Datos;2.756;Sin Datos;..
15. Ciudad Lineal;159. Costillares;3.648;3.989;4.267;4.103;4.228;4.333
16. Hortaleza;16. Hortaleza;3.203;3.541;2.687;3.668;3.801;3.824
16. Hortaleza;161. Palomas;Sin Datos;Sin Datos;3.732;3.736;4.193;4.533
16. Hortaleza;162. Piovera;4.403;4.921;4.275;4.259;4.624;4.690
16. Hortaleza;163. Canillas;2.713;3.285;3.241;3.227;3.305;3.464
16. Hortaleza;164. Pinar del Rey;2.500;2.907;2.887;2.799;2.904;3.121
16. Hortaleza;165. Apóstol Santiago;2.269;2.625;2.850;2.770;2.995;2.672
